"","MOLECULE_NAME","SMILES","STRUCTURE","FDA_APPROVED"
"47","BRDK96431673","CN1CCN(CC1)C(=O)C[C@H]1CC[C@H](NC(=O)c2ccc3OCOc3c2)[C@@H](CO)O1","http://data.lincscloud.org/pert_images/BRD-K96431673.png",FALSE
"48","BREFELDINA","CC1CCC\C=C/C2CC(O)CC2C(O)\C=C/C(=O)O1","http://data.lincscloud.org/pert_images/BRD-A31107743.png",FALSE
"49","BRIVANIB","C[C@@H](O)COc1cn2ncnc(Oc3ccc4[nH]c(C)cc4c3F)c2c1C","http://data.lincscloud.org/pert_images/BRD-K28428262.png",FALSE
"50","CANERTINIB","Fc1ccc(Nc2ncnc3cc(OCCCN4CCOCC4)c(NC(=O)C=C)cc23)cc1Cl","http://data.lincscloud.org/pert_images/BRD-K50168500.png",FALSE
"51","CAY10594","O=C(NCCN1CCC2(CC1)N(CNC2=O)c1ccccc1)c1ccc2ccccc2c1","http://data.lincscloud.org/pert_images/BRD-K61662457.png",FALSE
"52","CAY10618","O=C(CCCCCCCn1cc(nn1)-c1cccnc1)Nc1ccccc1-c1ccccc1","http://data.lincscloud.org/pert_images/BRD-K83289131.png",FALSE
"53","CCT036477","Cc1[nH]c2ccccc2c1C(Nc1ccccn1)c1ccc(Cl)cc1","http://data.lincscloud.org/pert_images/BRD-A22997170.png",FALSE
"54","CD1530","OC(=O)c1ccc(cc1)c2ccc3cc(c(O)cc3c2)C4(CC5CC6CC(C5)C4)C6","http://data.lincscloud.org/pert_images/BRD-K25737009.png",FALSE
"55","CD437","OC(=O)c1ccc2cc(ccc2c1)c3ccc(O)c(c3)C4(CC5CC6CC(C5)C4)C6","http://data.lincscloud.org/pert_images/BRD-K28907958.png",FALSE
"56","CEDIRANIB","COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ncnc2cc1OCCCN1CCCC1","http://data.lincscloud.org/pert_images/BRD-K86930074.png",FALSE
"57","CERULENIN","C/C=C/C\C=C\CCC(=O)[C@H]1O[C@H]1C(=O)N","http://data.lincscloud.org/pert_images/BRD-K52075040.png",FALSE
"58","CHIR99021","Cc1c[nH]c(n1)c2cnc(NCCNc3ccc(C#N)cn3)nc2c4ccc(Cl)cc4Cl","http://data.lincscloud.org/pert_images/BRD-K16189898.png",FALSE
"59","CHLORAMBUCIL","OC(=O)CCCc1ccc(cc1)N(CCCl)CCCl","http://data.lincscloud.org/pert_images/BRD-K29458283.png",FALSE
"60","CI976","CCCCCCCCCCC(C)(C)C(=O)Nc1c(OC)cc(OC)cc1OC","http://data.lincscloud.org/pert_images/BRD-K88544581.png",FALSE
"61","CICLOPIROX","Cc1cc(C2CCCCC2)n(O)c(=O)c1","http://data.lincscloud.org/pert_images/BRD-K13044802.png",TRUE
"62","CIMETIDINE","CNC(=NC#N)NCCSCc1nc[nH]c1C","http://data.lincscloud.org/pert_images/BRD-K18618618.png",TRUE
"63","CLOFARABINE","Nc1nc(Cl)nc2n(cnc12)C3OC(CO)C(O)C3F","http://data.lincscloud.org/pert_images/BRD-A82371568.png",TRUE
"64","COL3","NC(=O)C1C(=O)C[C@@H]2C[C@@H]3Cc4cccc(O)c4C(=O)C3C(=O)[C@]2(O)C1=O","http://data.lincscloud.org/pert_images/BRD-A59431241.png",FALSE
"65","CRIZOTINIB","C[C@@H](Oc1cc(cnc1N)-c1cnn(c1)C1CCNCC1)c1c(Cl)ccc(F)c1Cl","http://data.lincscloud.org/pert_images/BRD-K78431006.png",FALSE
"66","CUCURBITACINI","CC(C)(O)\C=C\C(=O)[C@](C)(O)C1[C@H](O)C[C@@]2(C)C3CC=C4C(CC(=O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C","http://data.lincscloud.org/pert_images/BRD-A28105619.png",FALSE
"67","CURCUMIN","COc1cc(/C=C/C(=O)CC(=O)\C=C\c2ccc(O)c(OC)c2)ccc1O","http://data.lincscloud.org/pert_images/BRD-K07572174.png",FALSE
"68","CYANOQUINOLINE11","Fc1ccc(Nc2c(cnc3c(Cl)cc(NCc4cnc[nH]4)cc23)C#N)cc1Cl","http://data.lincscloud.org/pert_images/BRD-K00088062.png",FALSE
"69","CYCLOPHOSPHAMIDE","ClCCN(CCCl)P1(=O)NCCCO1","http://data.lincscloud.org/pert_images/BRD-A09722536.png",TRUE
"70","CYTOCHALASINB","C[C@H]1[C@H]2[C@H](Cc3ccccc3)NC(=O)[C@]22OC(=O)\C=C\[C@H](O)CCC[C@@H](C)C\C=C\[C@H]2[C@H](O)C1=C","http://data.lincscloud.org/pert_images/BRD-K26664453.png",FALSE
"71","DABRAFENIB","CC(C)(C)c1nc(c(s1)-c1ccnc(N)n1)-c1cccc(NS(=O)(=O)c2c(F)cccc2F)c1F","http://data.lincscloud.org/pert_images/BRD-K09951645.png",FALSE
"72","DACARBAZINE","CN(C)/N=N/c1[nH]cnc1C(=O)N","http://data.lincscloud.org/pert_images/BRD-K35520305.png",TRUE
"73","DARINAPARSIN","C[As](C)SC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O","http://data.lincscloud.org/pert_images/BRD-K35723520.png",FALSE
"74","DASATINIB","Cc1cccc(Cl)c1NC(=O)c2cnc(Nc3cc(nc(C)n3)N4CCN(CCO)CC4)s2","http://data.lincscloud.org/pert_images/BRD-K49328571.png",TRUE
"75","DECITABINE","Nc1ncn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1","http://data.lincscloud.org/pert_images/BRD-K79254416.png",TRUE
"76","DEXAMETHASONE","CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO","http://data.lincscloud.org/pert_images/BRD-A35108200.png",TRUE
"77","DOCETAXEL","CC(=O)O[C@@]12CO[C@H]1C[C@H](O)[C@]1(C)[C@H]2[C@H](OC(=O)c2ccccc2)[C@@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c3ccccc3)C(C)=C([C@@H](O)C1=O)C2(C)C","http://data.lincscloud.org/pert_images/BRD-K30618791.png",TRUE
"78","DOXORUBICIN","COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(=O)CO","http://data.lincscloud.org/pert_images/BRD-K92093830.png",FALSE
"79","ENTINOSTAT","Nc1ccccc1NC(=O)c2ccc(CNC(=O)OCc3cccnc3)cc2","http://data.lincscloud.org/pert_images/BRD-K77908580.png",FALSE
